id,granularity,text,valence,arousal
AUG_0001,augment,工廠又加班到半夜，領班用我聽不懂的速度罵人，我整個腦袋嗡嗡響。我攢的錢還不夠寄回家，媽媽電話裡咳個不停，我心臟狂跳到快喘不過氣。這樣拚命是為了什麼？我真的快撐不住了！,3.11,7.12
AUG_0002,augment,婆婆當著所有親戚的面說我是「花錢買來的」，我氣得手都在抖，眼淚在眼眶裡打轉卻不能掉。我遠嫁到這裡不是來被羞辱的！我想尖叫，想摔門，可是我連反駁的中文都說不清楚，只能咬著嘴唇快崩潰。,2.82,7.28
AUG_0003,augment,孩子的老師打電話來，我一句都聽不懂，只能一直說「對不起、對不起」。掛掉電話我整個人癱在地上，胸口悶得發慌。我連兒子在學校發生什麼事都不知道，我算什麼媽媽？我恨自己這麼沒用！,3.19,7.64
AUG_0004,augment,居留證明天就到期，承辦說我少了一份文件要重跑，我當場血壓飆高。我請不到假，老闆一聽就臭臉。如果被遣返怎麼辦？我兩個孩子在這裡啊！我整晚睡不著，心臟像被人揪著往下扯。,3.31,7.17
AUG_0005,augment,過年他們一家團圓吃火鍋，我卻躲在廚房邊洗碗邊掉眼淚。想到我媽一個人在越南過年，我喉嚨堵得說不出話。這裡沒有人真正在乎我，我像個外人。我快窒息了，好想立刻飛回家！,2.94,7.12
AUG_0006,augment,去醫院掛急診，肚子痛到滿頭大汗，護士問我症狀我卻卡住講不出來。我急得整個人發抖，比手畫腳像個笑話。他們臉上那種不耐煩，讓我又羞又氣，痛加上慌，我覺得自己快死在這裡了！,2.77,7.5
AUG_0007,augment,老公又把薪水全給了他媽，我問一句就被吼「這是我家的事」。我在這個家拚死拚活，卻連買菜錢都要伸手要！我氣到全身發燙，想把桌上的碗全砸了。我到底是妻子還是傭人？我快瘋了！,2.62,7.26
AUG_0008,augment,仲介扣了我兩個月薪水說是手續費，我去理論反被威脅要通報。我人生地不熟，護照還在他手上，我怕得整晚發抖。這根本是綁架！我想報警又不敢，那種無助讓我快喘不過氣。,3.12,7.54
AUG_0009,augment,鄰居在背後說我「一定是為了錢才嫁老頭」，剛好被我聽見。我當下火冒三丈，指甲掐進手心。我付出的青春他們看不見，只會用最髒的話糟蹋我。我氣到胃絞痛，回家對著鏡子哭到崩潰。,2.78,7.57
AUG_0010,augment,孩子在學校被同學笑「你媽是外籍的」，回來問我為什麼不一樣。我聽了心如刀割，怒火燒到頭頂。我恨這些歧視，也恨自己害孩子被欺負。我抱著他發抖，眼淚止不住，恨不得衝去學校理論！,3.25,7.11
AUG_0011,augment,銀行辦事員一看我證件就換一副臉，說要多問一堆問題。前面本國人幾分鐘就好，我卻被當犯人審。我氣得雙手發抖，聲音都變了。憑什麼？我也是繳稅的人啊！這種羞辱讓我心臟狂跳。,3.24,7.66
AUG_0012,augment,老公喝醉又摔東西，孩子嚇得躲進房間，我擋在中間全身僵硬。我不敢報警，怕影響身分被說是我鬧事。這種每天提心吊膽的日子，讓我半夜驚醒好幾次，胸口悶得像壓了石頭，我快撐爆了！,2.87,7.22
AUG_0013,augment,颱風天工地照樣叫我去，不去就扣錢。我在風雨裡搬重物，手滑差點被壓到，嚇得腿軟。我對著天空想哭又想罵，命都快沒了他們還只看錢！那一刻我又怕又氣，整個人快崩潰。,3.37,7.37
AUG_0014,augment,我媽住院我卻回不去，機票太貴假也請不到。視訊裡看她插著管，我只能隔著螢幕哭喊。這種無能為力像刀一直割我。我氣自己當初為什麼要離開家！心口痛到我幾乎站不穩。,2.67,7.18
AUG_0015,augment,報稅系統全是我看不懂的字，打電話問又被轉來轉去，最後掛我電話。我抓著頭髮快抓破頭皮，心跳快得像要爆炸。在這個國家連問個問題都這麼難嗎？我氣到把資料摔在地上大哭。,3.28,7.58
AUG_0016,augment,公婆逼我快點生第二個，說「不然娶你做什麼」。我聽了整個人發冷，怒氣直衝腦門。我是人不是生育機器！我想大吼可是喉嚨發不出聲，只能發抖地衝進廁所，心臟狂跳到快暈倒。,3.25,7.68
AUG_0017,augment,同事故意用我聽不懂的話講我壞話，還一起笑。我坐在角落握緊拳頭，指甲都掐進肉裡了。我英文中文都被嘲笑，那種被孤立的窒息感壓得我喘不過氣，回家路上我氣到全身發抖眼淚狂飆。,3.03,7.88
AUG_0018,augment,孩子生日我特地請假想陪他，老闆卻臨時排我班，不去就開除。我掛掉電話手一直抖，眼淚劈里啪啦掉下來。連陪自己兒子一天都不行嗎？我又氣又慌，胸口悶到快炸開，好想放聲大叫！,2.9,7.54
AUG_0019,augment,身分證面試官問得又快又刁，我一緊張全忘光，他冷笑一聲。走出來我腿軟到蹲在路邊，心臟狂跳。如果沒過我這幾年不就白熬了？那種恐慌像海浪把我整個吞掉，我在街上崩潰大哭。,3.26,7.59
AUG_0020,augment,中秋節看別人一家烤肉笑鬧，我一個人在租屋處啃冷飯。手機裡家鄉群組熱鬧滾滾，我卻插不上話。孤單和思念一起爆發，我氣自己活得這麼慘，摀著嘴哭到喘不過氣，整夜心慌得無法入睡。,3.29,7.56
AUG_0021,augment,昨天在市場買菜，老闆娘用那種眼神看我，說「你們外籍的最會裝可憐」，我整個手在發抖，心臟跳到快炸開。我明明只是問價錢，為什麼要被這樣羞辱？回家我把菜摔在地上，眼淚止不住，我恨死這種被瞧不起的感覺了！,3.16,7.14
AUG_0022,augment,孩子的老師打電話來，說我兒子在學校被同學笑「你媽是越南來的」，我當場氣到說不出話，全身血往腦門衝。我衝去學校要理論，可是我中文講不清楚，急得快哭，那種無力又憤怒的感覺快把我逼瘋了！,2.78,7.33
AUG_0023,augment,半夜接到媽媽住院的消息，我坐在地上發抖，機票那麼貴，老公說沒錢回去。我心臟像被人揪住，喘不過氣，一直想是不是見不到她最後一面。我用力捶自己的胸口，恨自己什麼都做不到！,2.66,7.29
AUG_0024,augment,去戶政事務所辦身分證，承辦員一直說我文件不齊，講話又快又不耐煩。我聽不懂，急得整個人發熱冒汗，後面排隊的人在嘆氣。我覺得自己像個廢物，站在那裡崩潰想尖叫，為什麼永遠這麼難！,2.68,7.32
AUG_0025,augment,婆婆又當著親戚的面說我「花錢娶回來的」，我在廚房洗碗的手抖到停不下來。那句話像刀一樣捅進心裡，我氣到牙齒咬到出血。我到底做錯什麼要被這樣講一輩子？我快撐不住了！,3.11,7.39
AUG_0026,augment,工廠領班今天扣我薪水，說我動作慢，還罵髒話推我肩膀。我又怕又氣，全身緊繃到快抽筋。我想反抗又怕被解僱遣返，只能吞下去，那種屈辱讓我在廁所裡摀著嘴無聲地大哭發抖。,2.9,7.27
AUG_0027,augment,看電視在放老家過年的畫面，我突然崩潰大哭，胸口悶到快窒息。這裡沒有人記得我家鄉的節日，我一個人在陌生的地方過年。想到再也回不去小時候的家，我焦慮到整晚睡不著，心臟狂跳。,2.81,7.85
AUG_0028,augment,去醫院看病，醫生講的我一句都聽不懂，一直問我怎麼不會講中文，語氣很兇。我痛得說不出來，急得眼淚一直掉。我怕自己得了什麼病卻沒人幫我，那種孤立無援的恐慌快把我淹沒了！,3.12,7.59
AUG_0029,augment,老公喝醉又對我大吼，說要把我送回去。我抱著孩子躲在房間角落發抖，心跳快到耳朵嗡嗡響。我不知道明天會怎樣，這種隨時被丟掉的恐懼日夜折磨我，我快要精神崩潰了！,2.74,7.68
AUG_0030,augment,銀行說我的匯款被卡住，我寄回家給爸媽治病的錢不見了。我在櫃台前腿軟到站不穩，聲音都在顫抖。那是我省吃儉用好幾個月的血汗錢啊，我氣到想砸東西，恐慌得整個腦子一片空白！,2.73,7.4
AUG_0031,augment,鄰居報警說我在陽台曬東西「像難民」，警察來的時候我嚇到全身僵硬。我明明什麼都沒做錯，為什麼被當成罪犯？那種被歧視又恐懼的感覺讓我心臟劇烈跳動，回家後我抖了整整一個小時。,3.39,7.61
AUG_0032,augment,孩子問我「為什麼你講話怪怪的」，還說同學都笑他。我當下心如刀割，氣得聲音發抖。我這麼努力學中文卻連自己孩子都嫌棄我，我躲進廁所摀著嘴哭，焦慮到胃都痛了起來，快撐不住！,3.05,7.65
AUG_0033,augment,仲介今天威脅我，說如果不多付錢就通報讓我被遣返。我聽完手腳冰冷發抖，腦袋一片混亂。我人生地不熟能求誰？那種被人掐住喉嚨的恐慌讓我整夜狂冒冷汗，心臟像要跳出來一樣！,3.27,7.72
AUG_0034,augment,超市店員把我的東西丟在櫃台上，還大聲說「外勞不要碰那麼多」。我氣到全身發燙，眼淚在眼眶打轉。我只是想買點家鄉的醬料而已！那種被當垃圾對待的憤怒讓我在停車場崩潰大叫。,2.78,7.13
AUG_0035,augment,過節時全家圍爐，只有我一個人被晾在旁邊，沒人跟我說話。我坐在那裡越想越委屈，胸口悶得快爆炸。想到家鄉熱鬧的節慶和現在的孤單，我衝進房間摀著棉被嚎啕大哭，喘不過氣！,2.85,7.31
AUG_0036,augment,工廠宿舍的水管壞了半個月沒人修，我去反映還被主管兇說「愛住不住」。我氣到渾身發抖，聲音都啞了。我們也是人啊！那種被踐踏尊嚴的憤怒和無助，讓我半夜坐在床上發瘋似地流淚。,2.77,7.85
AUG_0037,augment,孩子生病發高燒，我半夜抱著他去急診，掛號小姐一直問我健保卡在哪、我聽不懂流程。我急得快瘋了，眼淚鼻涕一起流，孩子在懷裡哭，我在恐慌中全身顫抖，覺得整個世界都要崩塌了！,3.3,7.35
AUG_0038,augment,公公把我的護照鎖起來，說怕我「跑掉」。我發現後整個人癱在地上，心臟狂跳到暈眩。沒有證件我什麼都不是，那種被困住、被控制的恐懼讓我喘不過氣，我氣到摀著臉尖叫也沒人理我！,3.12,7.42
AUG_0039,augment,職場同事集體排擠我，午餐沒人跟我坐，還在群組講我壞話。我看到訊息的瞬間手抖到握不住手機，心臟像被撕開。我這麼拼命工作換來的就是這樣？我在洗手間憋著氣崩潰，恨這個地方！,3.33,7.47
AUG_0040,augment,收到通知說我的居留證要重審，可能不通過。我看完當場腦袋轟一聲，全身冰涼發抖。我在這裡有家有孩子，如果被趕走怎麼辦？那種未知的恐懼和焦慮把我逼到牆角，我整夜坐立難安、心跳如擂鼓！,2.81,7.3
