ID,Text
V407_13,開心的心情通常來自於生活中的一些小確幸，無論是與親朋好友的相處，還是自己的成就，這些都能讓我們感覺到充實和滿足。
V490_16,"奶奶，謝謝你一直以來對我的照顧，想念你煮的飯，有你在身邊,我真的很幸福,希望你一直健康快樂,有什麼需要一定要告訴我"
I574_16,有時會感到孤立無援，依賴丈夫或家人的支持來維持基本生活，語言障礙學歷問題及工作經驗限制，找到工作，待遇和工作條件也不如台灣人，並且可能會遭遇歧視或不平等待遇。
T609_13,在工作中，我們常會遇到來求助的人，有些問題超出我們所能協助的範圍，也可能因此讓我們跟著感到壓力。
C171_16,在家鄉的姐姐，好想你，快要過年了，很想回去跟你過年，一起出去吃吃喝喝，順便跟朋友聚聚，還是你要來台灣找我玩呢?來台灣玩也不錯，我可以帶你四處去玩
C203_16,"爸爸我好想您。感謝您在我生命中扮演這麼重要的角色，您的愛一直是我前進的動力，您的教誨我會永遠銘記在心。我遇到了困難，很想聽聽您的建議。我取得了小小的成就，想讓您知道。爸爸，對不起，以前我有很多地方做得不好。我好後悔，沒有多陪陪您。"
C274_16,青青，妳是人生中最珍貴的財富，謝謝支持與包容。無論何時何地，總能在我需要時伸出援手。一起分享快樂，分擔憂愁，每一次相聚都是無言的默契，歲月變遷，友情依舊。
C126_13,在這裡沒什麼朋友，不像以前在家裡，一對朋友每天找我出去玩，常常覺得很寂寞、很孤單，只能用微信跟朋友視頻，好想他們啊
C36_16,跟朋友說加油，生活會越來越好的，一切都會雨過天晴的，相信自己，你是最棒的，一切困難都會迎刃而解，放心大膽的去做吧
C113_13,因為要照顧小孩，長期沒工作，家裡的經濟也不是很好，每天面對著柴米油鹽，希望能要點出去找工作，貼補家用，又擔心小孩的就學狀況，陷入兩難，只好走一步算一步，畢竟大環境也不好，工作難找
P599_13,公公和婆婆十分疼愛我和我老公，對我們完全是不求回報的關愛和付出。我自然而然也把他們當自己的爸媽一樣愛他們。所以我也不會一心只想回娘家，但偶爾也會想回家去看看喔，現在一年可以回去一次已經很開心的
V496_16,叫老公不要再玩手機了，都不陪小孩玩，也不幫忙做點家裡的事情
T618_16,首先互相先打招呼，從哪裡來？來多久了？在這邊過得怎麼樣？有沒有上班？還是在家當家庭主婦？需不需要增加學習的方面？畢竟台灣幾乎每幾個月就會有很多課程可以去上。
C134_16,這個問題問得好，還真的沒想到要說什麼呢，不過有時候會和朋友傾訴一下小孩的狀況，相互關心，心情就會好很多
