id,granularity,text,valence,arousal
AUG_0001,augment,昨天婆婆又當著全家人的面譏我口音怪，說我連菜都煮不好。我站在廚房手一直抖，眼淚在眼眶裡打轉。我離鄉背井來到這裡，難道就該被這樣欺負嗎？心臟跳得好快，我快喘不過氣，真的好想哭喊出來。,3.11,7.12
AUG_0002,augment,工廠老闆說要扣我三個月薪水抵仲介費，我聽到整個人都僵了。這錢是我要寄回家給生病媽媽的啊！我又急又氣，手心全是汗，晚上翻來覆去睡不著，腦子裡一直想這些狠心的人怎麼可以這樣霸佔我的血汗錢。,2.82,7.28
AUG_0003,augment,孩子今天回家哭訴，同學笑他媽媽是外國人。我聽了氣得全身發燙，又心疼又憤怒。我拚了命想融入這裡，為什麼連我的孩子都要被這樣欺侮？我抱著他一起掉眼淚，胸口悶得像要炸開一樣。,3.19,7.64
AUG_0004,augment,我先生變心了，這幾天連家都不回。我一個人在異鄉，沒有娘家可以依靠，證件還在他手上。我半夜驚醒，心跳快到胸口發痛，越想越恐慌，難道我千里迢迢嫁來，換來的就是被拋棄嗎？,3.31,7.17
AUG_0005,augment,去戶政事務所辦身分證，承辦人態度超差，文件退了三次也不說清楚。我聽不太懂那些專有名詞，急得快哭出來。排隊的人在後面碎念，我又羞又氣，整個人抖個不停，覺得自己好無助。,2.94,7.12
AUG_0006,augment,婆婆把我寄回娘家的錢全都翻出來罵，說我忘恩負義吃裡扒外。我氣到手都在發抖，那是我省吃儉用存的血汗錢啊！我大聲哭喊為自己辯解，可是全家沒人站在我這邊，我覺得自己快要崩潰了。,2.77,7.5
AUG_0007,augment,今天在市場，攤販故意多算我錢，我抗議他還嘲笑我聽不懂。我又氣又委屈，臉整個漲紅，心臟砰砰跳。為什麼因為我是外籍的就要被這樣欺負？我拎著菜快步走開，眼淚忍不住掉下來。,2.62,7.26
AUG_0008,augment,中秋節全家團圓，我卻一個人躲在房間哭。想起家鄉的媽媽和弟妹，胸口像被撕裂一樣痛。這裡的節慶越熱鬧，我越覺得自己是個外人，焦慮和思念一起湧上來，喘不過氣，好想立刻飛回去。,3.12,7.54
AUG_0009,augment,仲介公司竟然把我的護照扣住不還，說要等合約結束。我聽了整個腦袋轟一聲，這根本是霸佔！我又怕又氣，手抖到打不了電話。萬一家裡出事我連回去都不行，越想越恐慌，快要瘋掉了。,2.78,7.57
AUG_0010,augment,去醫院看病，醫生講太快我完全聽不懂，護理師還一臉不耐煩。我抱著發燒的孩子急得快哭出來，語言不通讓我恐慌到極點。我一個人在陌生的地方，連生病都這麼可怕，胸口悶到發痛。,3.25,7.11
AUG_0011,augment,先生的家人整天在背後說我壞話，說我是來騙錢的。我親耳聽到那些充滿仇恨的話，氣得全身發抖，眼淚止不住。我這幾年付出的一切都被踩在腳下，我對著空房間哭喊，覺得自己撐不下去了。,3.24,7.66
AUG_0012,augment,公司說我請假回鄉探病就要開除我，媽媽都住院了他們還這麼狠心。我又急又氣，站在辦公室門口整個人都在顫抖。我大聲哭訴也沒用，他們冷冷看著我，我覺得自己被逼到絕路，恐慌到手腳發冷。,2.87,7.22
AUG_0013,augment,房東知道我是外籍配偶就漲租金，還說不租就滾。我又氣又怕，帶著孩子哪裡去住？我站在門口手一直發抖，眼淚滑下來。憑什麼這樣欺負我們？我心跳快得像要跳出來，整晚都在焦慮發抖。,3.37,7.37
AUG_0014,augment,婆婆偷看我的手機，還把我和娘家的訊息刪掉，罵我心不在這個家。我氣到快崩潰，那是我唯一和家人的連結啊！我哭喊著要她還我隱私，她卻譏笑我沒資格。我胸口悶得快窒息了。,2.67,7.18
AUG_0015,augment,孩子的老師打電話來，講一堆我聽不懂的教育術語，還怪我不會教。我急得滿頭大汗，越聽越焦慮，覺得自己什麼都做不好。掛掉電話我蹲在地上哭，恐慌到手腳冰冷，好怕拖累孩子。,3.28,7.58
AUG_0016,augment,先生賭博輸光了錢，還把主意打到我的積蓄上，說夫妻本來就該共用。我氣到全身發抖，那是我要給家鄉父母的養老錢！他竟想奪取我最後的依靠，我崩潰大哭，心臟痛得喘不過氣。,3.25,7.68
AUG_0017,augment,同事在群組裡故意排擠我，講些拙劣的玩笑取笑我的中文。我看著那些訊息，氣到手發抖，眼淚在眼眶裡打轉。我明明這麼努力學，為什麼還要被這樣譏笑？我焦慮得整晚睡不著，胸口悶悶的。,3.03,7.88
AUG_0018,augment,居留證快到期了，資料一直被退件，我怕得要命。萬一逾期我會不會被遣返、見不到孩子？我坐在椅子上手心冒汗，心跳快到耳鳴。這種不確定感讓我恐慌到崩潰，整個人都快撐不住了。,2.9,7.54
AUG_0019,augment,過年時婆家的親戚當面炫耀說娶外籍的比較好使喚，全桌人跟著笑。我氣得臉發燙，卻連反駁的話都說不清楚。我把自己關進廁所無聲地哭喊，那種被羞辱的憤怒和無助讓我快要窒息。,3.26,7.59
AUG_0020,augment,我先生外遇還帶對方回家，反過來罵我胡鬧愛吵。我又氣又恨，全身抖個不停，這就是他狠心的報答嗎？我在異鄉沒有一個親人可以依靠，我對著鏡子崩潰痛哭，覺得自己被整個世界拋棄了。,3.29,7.56
AUG_0021,augment,今天婆婆又當著全家人的面說我笨、聽不懂話，我羞憤得整張臉發燙，眼淚在眼眶裡打轉卻不敢掉下來。我明明很努力學中文了，為什麼永遠不夠好？心裡那股憤恨快要壓不住，我怕有一天我會崩潰。,3.16,7.14
AUG_0022,augment,工廠領班今天當著大家的面對我大吼，說我動作慢，還把零件砸在我面前。我的手一直抖，心臟跳得好快，好像下一秒就要窒息。我來這裡是為了賺錢養家，不是為了被這樣糟蹋，我氣得整個人都在發顫。,2.78,7.33
AUG_0023,augment,半夜接到家鄉電話，媽媽病重住院，我卻連機票錢都湊不出來。我抱著手機蹲在浴室地上哭到喘不過氣，恐慌像潮水把我淹沒。我離家這麼遠，連陪在她身邊都做不到，這種無力感讓我快要瘋掉。,2.66,7.29
AUG_0024,augment,孩子在學校被同學笑說媽媽是外國人、講話怪腔怪調，回家哭著問我為什麼跟別人不一樣。我聽了整顆心像被撕裂，又氣又愧，恨自己沒辦法保護他。那一晚我坐在客廳發抖到天亮。,2.68,7.32
AUG_0025,augment,去戶政事務所辦證件，承辦員態度惡劣，把我的文件丟回來說不對，卻不肯解釋哪裡錯。我聽不懂那些專業字，急得滿頭冷汗，喉嚨發緊。我站在那裡又羞又憤，覺得自己像個沒人理會的隱形人。,3.11,7.39
AUG_0026,augment,先生今天喝醉又動手推我，我躲在房間角落瑟瑟發抖，懼怕得說不出話。我不知道明天他會不會更失控。這裡沒有我的娘家可以逃，這種被困住的恐懼壓得我胸口好沉重，快要喘不過氣。,2.9,7.27
AUG_0027,augment,仲介扣了我三個月薪水說要抵費用，我去問就被兇說不做就滾回去。我又憤又怕，錢是家裡等著救命用的。夜裡我一想到這件事就心跳加速、渾身冒汗，那種被剝削的悲憤幾乎讓我整夜無眠。,2.81,7.85
