id,granularity,text,valence,arousal
AUG_0001,augment,昨天婆婆又當著全家人的面說我假裝聽不懂中文，說我討人嫁。我明明每天拚命學，越想越委屈越想越氣，胸口悶到快喘不過氣。晚上躲在廁所發抖，眼淚停不下來，我到底做錯什麼要被這樣對待，我快撐不住了。,2.78,7.69
AUG_0002,augment,老闆說好這個月加薪，結果又爽約！我加班到半夜、扛最重的貨，他還說我做得不夠好要把我降級。我氣到手一直抖，錢還要寄回家給生病的爸爸，房租下週就到期，我真的快崩潰了，不知道還能撐多久。,3.14,7.81
AUG_0003,augment,打電話回娘家聽到媽媽咳得那麼厲害，我整個人恐慌起來。飛機票貴得買不起，簽證又卡著出不去。我特別想立刻飛回去抱她，可是我什麼都做不到，只能在這裡哭，心臟像被人揪著，喘不過氣。,2.67,7.44
AUG_0004,augment,去戶政事務所辦身分證件，承辦員一臉不耐煩，說我資料不齊叫我重跑一趟。我明明照他上次講的準備，越想越火大。排隊排了三小時全白費，明天又要跟老闆請假被扣錢，我在大廳差點當場崩潰大吼。,2.62,7.27
AUG_0005,augment,孩子在學校被同學笑說「你媽是外籍的」，回家哭著問我為什麼不一樣。我聽了心如刀割又極度不適，氣到全身發燙。我不信這個社會真的會給我兒子公平，一想到他要承受這些歧視，我整晚睡不著，焦慮得快瘋了。,3.0,7.12
AUG_0006,augment,半夜肚子痛到打滾去掛急診，護理師講的醫學名詞我一個字都聽不懂，慌得眼淚直流。我一個人躺在冰冷的病床上，沒人陪、沒人翻譯，痛加上恐懼讓我全身發抖，那種孤立無援的絕望我這輩子忘不掉。,2.76,7.62
AUG_0007,augment,先生喝醉又摔東西，還大吼要跟我離婚，說當初娶我是浪費錢。我抱著孩子躲在角落，心臟狂跳到快炸開。我不知道明天會怎樣，證件都在他手上，我連逃都逃不了，恐慌得整個人快窒息。,3.04,7.28
AUG_0008,augment,中秋節家家戶戶團圓，我一個人坐在出租房吃泡麵，越想家越崩潰。手機裡是家鄉的月亮照片，我看著看著眼淚糊了整個螢幕。這種被全世界遺忘的孤單，讓我焦慮到胃絞痛，整夜蜷縮著不敢出聲哭。,3.07,7.75
AUG_0009,augment,仲介當初說好的薪水根本沒兌現，還扣我一堆莫名其妙的費用。我質問他，他竟威脅要把我遣返。我氣到發抖又極度恐慌，這筆錢是全家的救命錢啊！想到被騙我整個人快抓狂，真想以牙還牙卻又什麼都不敢。,2.61,7.74
AUG_0010,augment,鄰居總是用異樣眼光看我，還在背後說我來搶台灣人的工作。今天我在電梯裡聽到她們竊竊私語，氣血直往上衝。我明明守法守信認真過活，卻被當成討人嫌的外人，越想越氣越覺得屈辱，胸口燒得難受。,3.16,7.37
AUG_0011,augment,孩子月考考差，老師打電話來，語速快到我根本聽不清，只聽懂「你要多管管」。我又急又羞又氣，覺得自己什麼忙都幫不上。夜裡看著作業本，滿滿的字我看不懂，焦慮如潮水淹沒我，整個人快崩潰。,2.72,7.87
AUG_0012,augment,工廠主管故意刁難我，把最髒最累的活全丟給我，還當眾嘲笑我口音。我忍到快內傷，手在發抖也不敢頂嘴。回宿舍越想越憤怒又無力，這種被踩在腳底的日子什麼時候才是盡頭，我快撐不下去了。,2.87,7.17
AUG_0013,augment,銀行說我證件不符合不能開戶，薪水無處可放。我拿著一堆文件跑了三個地方都被打回票，急得滿頭汗、心跳飆快。語言不通又沒人幫，我站在馬路邊差點失控大哭，這座城市為什麼要把我逼到這種地步。,2.68,7.78
AUG_0014,augment,婆婆把我寄回家的錢當成把柄，天天在飯桌上冷嘲熱諷，說我心裡向著娘家不向著這個家。我聽了極度不適又滿腔怒火，卻連反駁的中文都組不出來。長期壓抑讓我快窒息，夜裡常驚醒，冷汗浸濕整件衣服。,3.08,7.75
AUG_0015,augment,先生說要帶我去登記結婚滿三年可以申請身分，結果拖了又拖，一直找藉口。我開始不信他，越想越心慌，萬一他有意拖著不辦，我就永遠沒有保障。想到自己毫無退路，恐慌得整晚在床上翻來覆去。,3.18,7.53
AUG_0016,augment,過年時全家熱熱鬧鬧圍爐，只有我像個外人默默夾菜。他們聊的笑話我聽不懂，笑也不是不笑也不是。那種格格不入讓我極度難受，越坐越慌，最後躲進廚房假裝洗碗，其實是在偷偷崩潰掉眼淚。,3.38,7.4
AUG_0017,augment,孩子生病發高燒，我抱著他衝去診所，卻因為健保資料出問題被擋在門外。我又急又怕，眼看孩子燒得通紅，我卻束手無策。恐慌到雙腿發軟，抱著他在門口大哭求人幫忙，那一刻我恨透了自己的無能。,3.04,7.76
AUG_0018,augment,公司說要革新流程把我這種外籍員工優先資遣，理由講得冠冕堂皇。我拚了三年結果被當成第一個丟掉的人，氣到全身發抖。房貸、學費、生活費壓得我喘不過氣，一想到失業我就恐慌到快昏過去。,3.09,7.79
AUG_0019,augment,同鄉姊妹本來說好一起租房分擔壓力，臨時卻爽約還把訂金拿走。我信任的人竟這樣對我，越想越氣越覺得心寒。現在我一個人扛不起房租，焦慮到吃不下睡不著，感覺全世界都在利用我的軟弱。,3.06,7.66
AUG_0020,augment,先生的家人一直逼我改信仰、改習慣，說我的家鄉文化落後。我明明只想保有一點自己，卻被說成反叛不懂事。長期被否定讓我極度崩潰，某天夜裡我對著鏡子哭到喘不過氣，覺得連自己是誰都快守不住了。,2.64,7.28
AUG_0021,augment,婆婆又爽約了！說好陪我去辦居留證，結果臨時說要去打牌。我一個人在移民署排隊，聽不懂廣播叫號，錯過了，整個上午白等。越想越氣，手一直抖，眼淚快掉下來。這種被騙的感覺讓我極度不適，我到底算不算這個家的人？,2.83,7.16
AUG_0022,augment,孩子在學校被同學笑「你媽媽是外國人」，回家哭著問我為什麼講話怪腔怪調。我聽了心臟像被揪住，喘不過氣。我努力學中文到深夜，還是被當成討人嫌的異類。我怕孩子因為我抬不起頭，這種焦慮快把我逼瘋了。,2.79,7.18
AUG_0023,augment,老闆今天當著全廠的人罵我動作慢，說要把我降級、減薪。我明明每天加班到手指腫脹！我氣到全身發燙，卻連反駁的中文都說不清楚。回宿舍我摀著嘴不敢哭出聲，怕被室友聽見，但我快撐不住了。,2.82,7.61
AUG_0024,augment,半夜接到家鄉電話，媽媽住院了，我卻連機票錢都湊不出來。我在陽台一直發抖，越想越恐慌，覺得自己嫁這麼遠有什麼用？想見一面都做不到。我抓著手機不停打電話，心跳快到胸口炸開，整晚沒睡。,2.89,7.4
AUG_0025,augment,先生喝醉又摔東西，說要跟我離婚，把我遣送回國。我抱著孩子躲在房間角落，門被踹得砰砰響。我全身冒冷汗，腦袋一片空白。我不信這就是我當初嚮往的婚姻，我到底做錯了什麼？我快要崩潰了。,2.77,7.31
AUG_0026,augment,去醫院掛號，護士講太快我沒聽懂，後面的人開始不耐煩地嘆氣、翻白眼。我漲紅了臉，手心全是汗，感覺所有目光都在指責我。我明明只是想看個病，卻被當成麻煩。那種被嫌棄的羞辱讓我極度不適，喉嚨都哽住了。,3.35,7.62
AUG_0027,augment,仲介當初說的工作內容全是假的，說好照顧老人，來了卻要我洗全家衣服、打掃三層樓。我發現自己被騙，氣到指甲掐進手心。護照還被扣著，我連逃都逃不了。這種被困住的恐慌，讓我夜夜驚醒、心臟狂跳。,3.09,7.24
AUG_0028,augment,過年時全家團圓，只有我一個人坐在角落。他們用方言說笑，我一句都聽不懂。我想起家鄉的年夜飯，眼淚突然決堤。越想越傷神，胸口悶得喘不過氣。我假裝去洗碗躲進廚房，摀著嘴哭到全身發抖。,3.18,7.23
