ID,Text,Valence,Arousal
T0001,從這個案例我思考了病人及家屬對於醫療決策意見不同時，該如何互相尊重溝通，同理對方，也延伸到生命末期時，要選擇什麼方式或心態面對死亡，讓我對尊重病人意願及善終有了更深一層體會。,6.0,4.3
T0002,為情境中的家屬感到欣慰，他們目前暫時不用經歷決定是否放下的煎熬，但對於在安寧病房病人的家屬來說，這可能是難以抹滅的傷痛，家屬們清楚知道病人將會離開而且已經不遠了，從悲傷到接受的過程，或許就像一段戀情，兩個互相喜歡但不適合的人在一起，很捨不得卻又知道有一天一定會分開的感覺，一直在等待奇蹟，沒有勇氣提分手的那種煎熬，擔心自己無法接受，承受不起悲傷，我想，這時候安寧醫療的團隊能夠提供很大的幫助，照顧到家屬的情緒，也幫助他們走出傷痛。,6.125,4.6
T0003,但站在家屬的角度，又何嘗不希望能跟自己親愛的家人有多一點時間相處呢，雖然不是發生在我身上，但可以同理家屬的捨不得，那種愛的人離開了的感覺，我想大概跟失戀一樣痛苦吧，或是更痛徹心扉。,3.2,5.4
T0004,這個情境中的病人很幸運，雖然簽了同意書，但後來呼吸情況改善，沒有插管，最後轉出到普通病房，但世界上每天還有多少不像他這麼幸運的人，在跟生命拉扯，讓我忍不住提醒自己要好好照顧身體，最好是老了的時候能在睡夢中離開，不要經歷這些痛苦，也讓我思考若是安寧的病人，是否安樂死也是一種選項，我知道要通過安樂死非常困難，光是在國外就已經有很多關卡，何況是台灣，但我認同安樂死的精神，尊重每個人的意願，可以決定自己的善終，能讓自己有尊嚴地走，也可以不用承受這麼多治療帶來的痛苦折磨，甚至部會為周圍的人帶來照顧的負擔，但我也清楚安樂死牽扯到的問題太多了，沒有這麼單純，只能說，認同它的精神但怎麼實施就還需要更多的討論。,4.4,5.1
T0005,也讓我反思如果我是情境中的病人或家屬會怎麼選擇，試著去同理他們為什麼會有這些反應，站在病人角度，可以理解他不想再經歷痛苦的感覺，這讓我想起之前在病房的末期病人們，看到他們虛弱的躺在病床上，身上插滿管子跟監測儀器，要與疼痛奮戰，神智不清，無法表達，有些甚至要其他人幫忙大小便，病人失去尊嚴還要承受劇烈疼痛，各種煎熬畫面浮現，讓我覺得善終真的很重要。,6.25,4.9
T0006,在尚未進展到結局之前，我感到緊張，若不插管病人可能真的會有生命危險，也感受得到家屬的焦慮，漫長的討論過程也讓我覺得很兩難，雙方的理由都充分但卻互相矛盾，充滿無法解決事情的無力感，也讓我不禁害怕起來，未來如果我需要獨自處理這樣的問題時我該如何面對，不確定未來的自己是否能做到完全不帶感情地照著規定走，但目前覺得自己有點被帶到情境中，情緒也跟著波動。,3.625,6.6
T0007,55歲男性，被初步診斷為雙側肺炎、胰臟炎、敗血症而住進加護病房，他的呼吸狀況持續惡化，HFNC(High Flow Nasal Cannula)越調越高到78%-80%，且因他之前有動過Tongue cancer手術，臉部帶氧氣罩無法密合，因此不能使用NIV，醫療團隊擔心若呼吸狀況仍無法改善可能會需要插氣管內管，因此與病人及家屬討論簽同意書的意願，病人因之前有放過鼻胃管很不舒服的經驗因此拒絕插管，醫療團隊與他溝通許久，病人還是不願意，但家屬們都希望可以積極治療，與家屬討論，醫療團隊的立場是希望能尊重病人意願做處置，若他們堅持要積極治療，就需要請家屬們去說服病人，後來在病人女兒的勸說下，病人終於同意簽同意書。,4.5,4.375
T0008,而身為旁觀者的自己能做的也是先專注於學習如何急救，將自己的情緒暫時收好。,4.875,3.0
T0009,剩餘病人和家屬之間的狀況等明瞭時再想辦法協調，在這之前先把當下能做的處置做好。,5.625,2.75
T0010,唯一能做的事就是努力維持病人生命，幫助病人度過難關。,6.25,4.2
