id,granularity,text,valence,arousal
AUG_0001,augment,我今天又聽到婆婆在背後跟鄰居說，娶我這種外國人回來就是浪費錢。我整個人氣到發抖，手心全是汗。我到底做錯了什麼？我每天煮飯洗衣照顧一家老小，換來的只有嫌棄。我快要撐不下去了，胸口悶得喘不過氣。,3.11,7.12
AUG_0002,augment,健保卡又刷不過，櫃檯小姐用那種眼神看我，說我居留證資料有問題。我當場慌到說不出話，孩子在旁邊發燒哭鬧，我卻連掛號都辦不了。我心臟狂跳，真的好想尖叫，這個國家到底要我怎麼證明我是人？,2.82,7.28
AUG_0003,augment,孩子的老師打電話來，說他在學校被同學笑是「外勞的小孩」。我聽完整個腦袋轟一聲炸開，氣得眼淚直流。我拚了命工作養他，就是不想讓他被看不起。我現在坐在這裡發抖，恨不得衝去學校跟每個人吵。,3.19,7.64
AUG_0004,augment,工廠領班今天又對我大吼，說我動作慢，還把我做好的東西全部摔在地上。我又怕又氣，全身僵住不敢動。我離鄉背井來這裡賺錢，不是來被當畜生罵的。我躲在廁所哭到快喘不過氣，真的好想立刻逃回家。,3.31,7.17
AUG_0005,augment,過年了，全家圍爐熱熱鬧鬧，可我一個人站在廚房，突然想起媽媽。我媽現在一個人在老家，連視訊都不會用。我心裡像被撕開一樣，眼淚止不住地掉，喉嚨緊到說不出話。這種孤單快要把我逼瘋了。,2.94,7.12
AUG_0006,augment,先生今天喝醉又摔東西，還吼說要把我送回去。我抱著孩子躲在房間角落，心跳快得像要跳出來。我怕得全身發冷，卻連報警都不敢，因為我怕失去居留身分。這種恐懼像掐住我脖子，我快窒息了。,2.77,7.5
AUG_0007,augment,銀行說我開戶要一堆文件，我聽不懂那些專業詞，行員不耐煩地翻白眼。我又羞又急，臉燙得發紅，手一直抖。我明明也是繳稅的人，為什麼連辦個帳戶都被當成麻煩？我氣到想把單子全撕掉。,2.62,7.26
AUG_0008,augment,婆婆把我寄回娘家的錢全查出來，當著全家的面罵我偷家裡的錢。我又氣又冤，胸口像被石頭壓著喘不過氣。那是我自己加班賺的血汗錢！我當場崩潰大哭，覺得在這個家我永遠是個外人。,3.12,7.54
AUG_0009,augment,看醫生時我形容不出哪裡痛，醫生皺著眉頭催我快點說。我急得滿頭汗，話都卡在喉嚨。身體痛加上說不清楚，我整個人快恐慌了，心臟砰砰亂跳。原來連生病都不被允許，這種感覺讓我快要瘋掉。,2.78,7.57
AUG_0010,augment,我在市場買菜，攤販故意用很快的台語講價錢，還笑我聽不懂。周圍的人都在看我，我羞得臉發燙，氣得手發抖。我只是想買點菜煮飯而已，為什麼要被這樣羞辱？我提著袋子衝回家，一路眼淚狂流。,3.25,7.11
AUG_0011,augment,仲介扣了我大半薪水，說是什麼手續費，我根本沒同意過。我氣到整晚睡不著，胸口悶得像要爆炸。我漂洋過海就是為了寄錢回家，現在錢被吃掉一大半。我又怕失去工作又氣得發狂，真的好想大聲吼出來。,3.24,7.66
AUG_0012,augment,女兒今天回來說她不想承認我是她媽媽，因為我講話有口音。我聽到當下腦袋一片空白，心臟像被刀子刺穿。我為她付出一切，換來的是嫌棄。我一個人躲在陽台崩潰痛哭，氣到全身發抖，覺得活著好累。,2.87,7.22
AUG_0013,augment,戶政事務所又叫我補件，來回跑了五次還是說不行。我火氣衝上頭，聲音都在發抖。我請假一天就少一天薪水，他們卻一副事不關己的樣子。我快要控制不住自己，真想把桌上的東西全掃到地上，我受夠了！,3.37,7.37
AUG_0014,augment,半夜孩子高燒抽搐，我一個人手忙腳亂，先生出差不接電話。我嚇得腿軟，手抖到撥不出號碼。人生地不熟，語言又不通，我恐慌到快昏過去。那一刻我恨透了這個讓我孤立無援的地方，眼淚和汗水混在一起。,2.67,7.18
AUG_0015,augment,同事聚餐大家有說有笑，只有我插不上話，被晾在一旁。我越坐越焦躁，心裡又酸又氣。我努力學中文想融入，卻永遠像個隱形人。我藉口上廁所，躲進廁所隔間就崩潰了，抱著頭喘不過氣，覺得自己好多餘。,3.28,7.58
