id,granularity,text,valence,arousal
AUG_0001,augment,今天去區公所辦居留證，承辦人一句話就把我打發走，說我文件不齊。我明明照清單準備了！排了三小時隊全白費，我整個氣炸，眼淚在眼眶裡打轉。為什麼每次都是我被刁難？這種無力感快把我逼瘋了。,2.37,7.50
AUG_0002,augment,婆婆又在親戚面前說我是用錢買來的媳婦。我聽到那一刻簡直抓狂，胸口悶得喘不過氣。我嫁來這裡這麼多年，每天煮飯洗衣帶小孩，換來的就是這種羞辱？我躲在廁所裡發抖，氣到全身發冷。,2.41,7.23
AUG_0003,augment,半夜接到家鄉電話，媽媽住院了，我卻連機票錢都湊不出來。我坐在地板上呼天搶地，整顆心被撕成兩半。離家這麼遠到底為了什麼？這種無助讓我快要崩潰，恨不得馬上飛回去。,2.25,7.20
AUG_0004,augment,工廠領班今天當著所有人罵我笨，說外勞就是學不會。我火大到拳頭都握緊了。我加班到半夜，手都磨破皮，憑什麼這樣被怒斥？回宿舍躺在床上，我氣到整夜睡不著，心臟狂跳。,2.44,7.74
AUG_0005,augment,孩子在學校被同學笑說媽媽是外國人、講話怪腔怪調。我聽完氣到發抖，又心痛得快窒息。我這麼努力學中文，到底哪裡對不起他？我抱著哭泣的孩子，內心狂怒又絕望，不知道該怎麼辦。,2.25,7.29
AUG_0007,augment,去醫院掛號，護士看我講中文不流利，臉色超臭，連病情都懶得問清楚。我急得快哭，肚子痛到冒冷汗卻沒人理我。那種被當空氣的感覺讓我抓狂，我在診間外抖著等了快兩小時。,2.44,7.08
AUG_0008,augment,仲介把我的薪水扣了一大半，說是手續費。我質問他，他竟然兇我說不爽就回去。我氣到全身發燙，這根本是搶劫！我人在異鄉孤立無援，那一刻只想對著天空怒吼，胸口快炸開了。,2.39,7.68
AUG_0010,augment,老闆娘今天當眾把我推了一把，說我動作慢。我整個人愣住，接著怒火直衝腦門。我又不是奴隸！我氣到聲音發抖，卻又怕丟了工作不敢還口，那種屈辱讓我整晚抓狂落淚。,2.39,7.78
AUG_0011,augment,小孩功課我看不懂，老師打電話來指責我不關心教育。我聽完崩潰大哭，又急又氣。我中文都還在學，怎麼教國中數學？這種被否定的感覺壓得我喘不過氣，我抱著頭蹲在牆角發抖。,2.24,7.46
AUG_0012,augment,鄰居天天用異樣眼光看我，今天還在背後說我偷東西。我聽到氣到血壓飆高，渾身發顫。我清清白白的，憑什麼被這樣污衊？我衝出去想理論，手抖到連話都說不清，氣得快暈過去。,2.53,7.44
