id,granularity,text,valence,arousal
AUG_0001,augment,今天婆婆又當著全家的面譏我中文講不好，說我嫁來就是佔他們家便宜。我氣到手一直抖，胸口悶得快喘不過氣。我明明每天煮飯洗衣照顧公公，換來的卻是這種欺負。我躲進廁所哭，越想越憤怒，為什麼我要忍到這種地步？,3.11,7.12
AUG_0002,augment,仲介打電話來說我的居留證出問題，可能要被遣返。我整個人腦袋一片空白，手機都拿不穩。這幾年的辛苦難道就這樣沒了？我在台灣有先生有小孩，怎麼可以叫我走！我一整夜沒睡，心臟狂跳，恐慌到想哭喊。,2.82,7.28
AUG_0003,augment,先生變心了，我在他手機看到別的女人的訊息。我當場崩潰，指著他罵，他卻一臉沒事還跟我炫耀說人家對他多好。我這幾年替他生兒育女，換來這種忘恩負義！我氣到全身發熱，眼淚跟仇恨一起湧上來。,3.19,7.64
AUG_0004,augment,工廠領班故意扣我加班費，我去理論他還兇我，說外勞不爽就滾。我氣到全身發抖，喉嚨都在顫。憑什麼奪取我辛苦賺的血汗錢！我一個人在宿舍哭訴，越想越憤怒，恨不得馬上衝去洗恨。,3.31,7.17
AUG_0005,augment,孩子在學校被同學欺負，說他媽媽是外國人講話怪腔怪調。我聽到心都碎了，氣得衝去學校。老師卻一副拙劣的態度敷衍我。我當場快崩潰大喊，我的孩子做錯什麼要被這樣對待！,2.94,7.12
AUG_0006,augment,半夜接到家鄉電話，媽媽突然住院了，我卻連機票都買不起。我抱著手機哭到不能自己，心慌得快裂開。我恨自己遠在異鄉什麼都做不了。整個人焦躁到在房間走來走去，喘不過氣。,2.77,7.5
AUG_0007,augment,小姑天天在家胡鬧，把我當傭人使喚還洩恨似的摔東西。今天她又罵我是外來的，沒資格住這個家。我氣到血往頭上衝，全身冒汗。我在這個家像個仇敵一樣被排擠，我快撐不下去了。,2.62,7.26
AUG_0008,augment,"我去醫院看病，護士一直不耐煩地譏我聽不懂,大聲催我。我又急又羞，心跳快到耳鳴。我明明生病很難受,卻還要受這種欺侮。我站在走廊眼淚狂掉，恐慌到連號碼牌都拿反了。",3.12,7.54
AUG_0009,augment,"過年了,先生全家熱鬧圍爐，卻沒人問我家鄉的爸媽好不好。我坐在那裡假裝笑,心裡卻在哭喊。我想我媽想到快發瘋,胸口悶得喘不上氣。我躲到陽台一個人崩潰大哭,冷風吹得我更心慌。",2.78,7.57
AUG_0010,augment,"房東突然說要漲房租還要趕我們走，態度狠心得像仇人。我一個外籍配偶哪有辦法馬上找到房子!我急得整晚失眠,心臟狂跳。想到孩子沒地方住我就恐慌到手發抖,真的快崩潰了。",3.25,7.11
