id,granularity,text,valence,arousal
sentence_00202,sentence,除了去發掘各地整鹹魚特色外,6.0,5.333
sentence_02252,sentence,女子遭凌虐肢解,2.0,6.5
text_01517,text,根據資訊工業策進會產業情報研究所MIC)研究，2011年全球遊戲人口超過3億人，遊戲市場規模632億美元；預估2012年則再增至691億美元；2013年跳升至732億美元；2014年達773億美元；2015年預估值可達821億美元。,5.625,5.5
text_00382,text,小弟趁今天去保養車子時，順便跟原廠員工聊天小弟想瞭解一件事，ALLnewCamry的配備這次這麼差，倒底是日本原廠的意思，還是台灣總代理的意思員工也很誠實的說是台灣總代理的意思所以小弟差點誤會日本原廠和泰啊台灣人民的生命這麼不值錢嗎不值到連安全配備也要拿掉嗎，還不能選配連原廠員工都很失望,2.875,6.333
text_00356,text,似乎很多人開車整天怕車禍。,4.1,4.0
sentence_02496,sentence,卡在時間裂縫的男人,5.0,2.667
text_00839,text,介面充足，3個USB，1個讀卡器，外加LAN和顯示器介面，滿足基本的外設需求。,5.5,3.5
sentence_00836,sentence,以及把這個世界交給撒旦路西法和他的墮落天使以及他們的反基督,3.333,4.75
sentence_02558,sentence,有些人就是選擇性失明,3.0,6.5
text_02058,text,作為騰訊最重要的增值服務之一，QQ會員誕生已經18年，從VIP到SVIP，從耀眼紅到尊貴黃，都讓眾多小夥伴自願掏荷包，為騰訊帝國添磚加瓦。,5.667,3.667
sentence_00298,sentence,人云算術不及格,3.333,4.667
text_01749,text,小弟深深覺得激情或衝突並無法訴說要求或解決問題.,4.0,5.625
sentence_02360,sentence,是展現在它負勢向上高聳入雲的蓬勃生機中,6.4,4.2
text_00973,text,很不錯的機器，做工驚喜，外觀漂亮，包括燈光系統設計都很人性化，機器配置均衡，總體來說配置算不錯的了，運行Vista比我想像的要流暢，以前一直用XP，從來沒用過Vista，原本打算不行就換要XP了，但是使用後發覺Vista用起來也挺順手，該機雙通道2GDDR1066的內存完全可以保證Vista流暢運行，也就不打算折騰換XP了！,6.75,5.143
