id,granularity,text,valence,arousal
reflection_02296,reflection,一位父親，同時也是一位丈夫，被插著endo靜靜的躺在床上，臉上看起來如此安詳。,5.25,3.9
sentence_01234,sentence,反而在空中小姐歡呼簇擁下登機,8.0,7.0
text_00501,text,就算質疑中裡的技術，神之腳在下坡也徹底輸給了啟介，神之腳的技術沒人質疑吧?,4.714,5.0
text_02607,text,儘管民進黨的繼續執政有一定的助益，但是若沒有提出最優的解決策略，就無法觸動並根本解決滋擾臺灣政治23年的種種難題。,4.0,3.875
sentence_01231,sentence,慶富案錄音檔流出,4.5,5.5
reflection_00812,reflection,在這個部分我們只能不斷地與家屬溝通，要確認他們瞭解病情之餘，也必須要讓他們知道病情的嚴重度。,4.375,2.625
sentence_02047,sentence,若不是眼見情郎臂骨折斷,4.0,6.333
text_00916,text,跑遊戲還是差了一點點。,3.667,4.167
sentence_02182,sentence,生酮飲食和均衡飲食,6.667,3.333
reflection_01568,reflection,當下病人家屬感到非常恐慌，與醫護人員的對答也變得比較具有針對性與攻擊性，並會質疑醫療團隊所作的處置。,4.0,5.625
text_01949,text,阿富汗母親：「我5個孩子都非常虛弱，體重不足，我們的生活狀況很差，日子過得非常苦。,2.556,4.714
text_02700,text,老人們蹣跚、遺忘，逐漸被衰老剝奪生命的活力，但更多的時候，人們看到的是一張張滿是皺紋的笑臉，他們跟著音樂拍手，也常常伴著歌聲睡著。,6.571,4.143
text_00193,text,人類要實現生命的永恆就有超越死亡。,5.125,4.125
reflection_01077,reflection,但後續不幸出現院內感染肺炎且症狀在非侵入性治療下無明顯改善必須考慮再插管但這次阿嬤堅定拒絕，相反地家屬則希望積極處理。,4.2,3.2
sentence_01796,sentence,讓減稅降費紅利切實惠及企業,6.667,4.0
sentence_00644,sentence,若非遭到欺騙和背叛,3.6,5.2
sentence_01363,sentence,經營自己的傳統,6.4,3.2
text_01586,text,迴應社會改革聲浪，立法院長王金平昨天邀集朝野黨團協商後，達成共識，要求中油、臺電、臺糖和自來水公司等四家國營事業，今年度發放經營績效獎金，最高不得超過一.二個月，將較現行二.六個月，大砍一半以上，初估平均每位員工將少領約十萬元獎金。,4.857,4.429
reflection_01953,reflection,描述事件：有一位ESRD在洗腎的六十幾歲男性，這次在打完AZ疫苗三天後發燒，隔天發生呼吸困難因此來到急診，急診檢查起來有雙側的pneumonia跟troponin上升跟EKG ST depression懷疑合併一個NSTEMI。,4.0,4.0
text_02703,text,臺灣兒科醫學會提醒家長，在睡眠上給寶寶的幫助越少越好，讓孩子學習自行入睡，並能大幅降低嬰兒猝死症候群的風險。,6.0,4.571
edu2021_00856,edu2021,今天教的我覺得有點複雜,3.916666666666667,3.0
sentence_01523,sentence,加徵關稅只會讓全人類落入無銷煙的世界大戰,3.0,4.6
sentence_01918,sentence,吃到最後一臉茫然,4.0,4.25
text_00156,text,但是，始終都能感受到她們的愛是如此真實。,5.429,5.0
text_00540,text,優點是地理位置不錯，朝南的房間可以看富春江，可惜給我的所謂高級房是朝北的，怪不得人家說攜程的客人比較受歧視。,3.333,4.625
reflection_01373,reflection,"我的primary care是一位OHCA, ACS related的病人，在緊急地進行心導管還有相關藥物後，其實他心臟方面的問題在這兩週下來都控制得還不錯，從心電圖和lab data都可以看到改善的情形，但比較可惜的是，病患從onset到ROSC整體過程比較長、甚至超過半個小時，而使其腦部長時間處於缺氧的狀態，而造成不可逆的影響，在後續的住院期間可以觀察到大大小小seizure的情形，即便將相關鎮靜和肌肉鬆弛的藥物上調也不見改善，更不用說下調sedation讓病患試著脫離呼吸器了，對於病患後續的處置大概是兩種建議，分別是讓病患脫離呼吸器、進入安寧共照，以及進行氣切、轉至呼吸照護中心。",4.2,3.875
reflection_01508,reflection,"後來在家庭會議中我慢慢地理解到家屬有可能很放不下的原因,其一是這位女士是今年八月初才診斷出末期的多發性骨髓瘤,病情惡化進展得非常快速,短短兩個月的期間她直接住進加護病房,插管後甚至連交代後事或是講到一些話的機會都沒有,所以家屬一時之間很難接受,也有一些遺傳另外也了解到娘家那邊的長輩也還沒有看到她,也不太知道如何告知長輩這樣的消息。",3.75,4.5
reflection_01938,reflection,描述事件41 歲男性，有糖尿病與精神病史，有在注射胰島素，平時工作是務農，11 天前突然倒下，送醫急救後插管，醫師判斷為低血糖，然而因其腦部缺氧過久，病人脫離呼吸器的可能性微乎其微，因此要與家屬進行家庭會議，決定拔管還是走長照。,4.0,3.625
sentence_02233,sentence,看到第四季總算有點禷i了,4.333,4.5
