id,granularity,text,valence,arousal
AUG_0001,augment,婆婆又當著全家的面說我拙劣，連個菜都煮不好，我氣到全身發抖，眼淚一直掉。我明明每天五點就起來準備，她卻只會譏笑我。我真的快崩潰了，這個家到底把我當什麼？,3.11,7.12
AUG_0002,augment,證件卡在辦事處三個月了，今天又被退件，說我資料不齊全。我聽不懂那些專有名詞，櫃檯口氣很兇，我當場眼眶就紅了，急得心臟狂跳，我到底還要等多久！,2.82,7.28
AUG_0003,augment,先生變心了。我今天看到他手機的訊息，整個人腦袋一片空白，手一直抖。我為這個家付出所有，離開故鄉來到這裡，換來的竟然是背叛。我恨他，我好想哭喊出來卻不敢出聲。,3.19,7.64
AUG_0004,augment,孩子在學校被同學笑我是外國人，回家哭鬧著不想上學。我又氣又心痛，衝到學校老師卻只會敷衍我。我一整晚睡不著，胸口悶到快喘不過氣，我怕孩子從此被欺負一輩子。,3.31,7.17
AUG_0005,augment,媽媽住院了我卻回不去。,2.94,7.12
AUG_0006,augment,工廠領班故意把最重的活都推給我，還在大家面前炫耀他多會管人。我洩恨不了只能忍，手臂痛到抬不起來，晚上躺在宿舍氣得發抖，眼淚砸在枕頭上，這種日子什麼時候是頭。,2.77,7.5
AUG_0007,augment,房東今天突然說要漲租，不然就搬走。我一個月薪水扣掉寄回家的根本不夠，聽到當下腿都軟了，恐慌到說不出話。這裡沒有一個親人可以幫我，我該怎麼辦。,2.62,7.26
AUG_0008,augment,小姑把我媽送我的金鍊子藏起來還說我亂放，狠心得很。那是我出嫁時媽媽唯一給我的東西啊！我氣到當場跟她大吵，全身發熱，心跳快到像要爆炸，我恨這個家沒有人站在我這邊。,3.12,7.54
AUG_0009,augment,看病時醫生講的我一句都聽不懂，護士叫我快一點，後面的人一直瞪我。我急得手心全是汗，眼淚在眼眶打轉，只覺得自己像個累贅，好想立刻消失在這裡。,2.78,7.57
AUG_0010,augment,過年了，這裡熱熱鬧鬧，我卻躲在廁所哭。想家想到心口絞痛。,3.25,7.11
AUG_0011,augment,先生的哥哥霸佔了公公留下的房子，還說我們外來的沒資格分。我聽到氣血往上衝，指著他罵他忘恩負義，公公生病時是誰在照顧！我氣到整晚發抖失眠，這種被當外人的委屈快把我逼瘋了。,3.24,7.66
AUG_0012,augment,仲介又扣我的薪水，說是什麼手續費。我根本沒同意過！打電話去公司沒人接，我急得在房間裡走來走去，眼淚止不住，恐慌得整夜睡不著，這筆錢是要救我爸的命的啊，他們怎麼可以這樣奪取我的血汗。,2.87,7.22
AUG_0013,augment,今天孩子考試考不好，婆婆當著鄰居的面說是我這個外籍媽媽教不好，把責任全推我身上。我氣到胸口發疼，明明我每天下班還陪他讀書到半夜。我又累又氣又委屈，眼淚一顆顆掉在作業本上，覺得自己再怎麼努力在這個家都是錯的，這種日子讓我快撐不下去了。,3.37,7.37
AUG_0014,augment,同鄉的姐妹背後說我壞話，把我當仇敵一樣。我信任她那麼久。,2.67,7.18
